software,software_description,software_versions,resource
JupyterLab,"JupyterLab is the next-generation user interface for Project Jupyter offering all the familiar building blocks of the classic Jupyter Notebook (notebook, terminal, text editor, file browser, rich outputs, etc.) in a flexible and powerful user interface. JupyterLab will eventually replace the classic Jupyter Notebook.",4.0.3,aces
JupyterNotebook,"The Jupyter Notebook is the original web application for creating and sharing computational documents. It offers a simple, streamlined, document-centric experience.",7.0.3,aces
KaHIP,The graph partitioning framework KaHIP -- Karlsruhe High Quality Partitioning.,"3.14, 3.16",aces
Kalign,Kalign is a fast multiple sequence alignment program for biological sequences.,"3.3.1, 3.3.5, 3.4.0",aces
Keras,"Keras is a deep learning API written in Python, running on top of the machine learning platform TensorFlow.",2.4.3-TensorFlow-2.5.0,aces
Kraken2,"Kraken is a system for assigning taxonomic labels to short DNA sequences, usually obtained through metagenomic studies. Previous attempts by other bioinformatics software to accomplish this task have often used sequence alignment or machine learning techniques that were quite slow, leading to the development of less sensitive but much faster abundance estimation programs. Kraken aims to achieve high sensitivity and high speed by utilizing exact alignments of k-mers and a novel classification algorithm.",2.1.2,aces
LAME,LAME is a high quality MPEG Audio Layer III (MP3) encoder licensed under the LGPL.,3.100,aces
LAMMPS,"LAMMPS is a classical molecular dynamics code, and an acronym for Large-scale Atomic/Molecular Massively Parallel Simulator. LAMMPS has potentials for solid-state materials (metals, semiconductors) and soft matter (biomolecules, polymers) and coarse-grained or mesoscopic systems. It can be used to model atoms or, more generically, as a parallel particle simulator at the atomic, meso, or continuum scale. LAMMPS runs on single processors or in parallel using message-passing techniques and a spatial-decomposition of the simulation domain. The code is designed to be easy to modify or extend with new functionality.","2Aug2023_update2-CUDA-11.8.0-sm90, 2Aug2023_update2-intel-2023.07, 3Aug2023-intel-2023.07, 23Jun2022_update4-kokkos-CUDA-11.4.1, ...",aces
LASSO-Python,This python library is designed for general purpose usage in the field of Computer Aided Engineering (CAE). It's name originates from the original initiator and donator of the project Lasso GmbH. The library is now maintained by an open-source community.,2.0.0,aces
LERC,"LERC is an open-source image or raster format which supports rapid encoding and decoding for any pixel type (not just RGB or Byte). Users set the maximum compression error per pixel while encoding, so the precision of the original input image is preserved (within user defined error bounds).",4.0.0,aces
LLVM,"The LLVM Core libraries provide a modern source- and target-independent optimizer, along with code generation support for many popular CPUs (as well as some less common ones!) These libraries are built around a well specified code representation known as the LLVM intermediate representation (""LLVM IR""). The LLVM Core libraries are well documented, and it is particularly easy to invent your own language (or port an existing compiler) to use LLVM as an optimizer and code generator.","10.0.1, 11.1.0, 12.0.1, 13.0.1, 14.0.3, 14.0.6-llvmlite, 14.0.6, 15.0.5, 16.0.6",aces
LMDB,"LMDB is a fast, memory-efficient database. With memory-mapped files, it has the read performance of a pure in-memory database while retaining the persistence of standard disk-based databases.","0.9.24, 0.9.28, 0.9.29, 0.9.31",aces
Leptonica,Leptonica is a collection of pedagogically-oriented open source software that is broadly useful for image processing and image analysis applications.,1.83.0,aces
LevelDB,LevelDB is a fast key-value storage library written at Google that provides an ordered mapping from string keys to string values.,1.22,aces
LibSoup,"libsoup is an HTTP client/server library for GNOME. It uses GObjects and the glib main loop, to integrate well with GNOME applications, and also has a synchronous API, for use in threaded applications.",3.0.7,aces
LibTIFF,tiff: Library and tools for reading and writing TIFF data files,"4.1.0, 4.2.0, 4.3.0, 4.4.0, 4.5.0",aces
Libint,Libint library is used to evaluate the traditional (electron repulsion) and certain novel two-body matrix elements (integrals) over Cartesian Gaussian functions used in modern atomic and molecular theory.,2.7.2-lmax-6-cp2k,aces
LittleCMS,"Little CMS intends to be an OPEN SOURCE small-footprint color management engine, with special focus on accuracy and performance.","2.12, 2.13.1, 2.14, 2.15",aces
Lua,"Lua is a powerful, fast, lightweight, embeddable scripting language. Lua combines simple procedural syntax with powerful data description constructs based on associative arrays and extensible semantics. Lua is dynamically typed, runs by interpreting bytecode for a register-based virtual machine, and has automatic memory management with incremental garbage collection, making it ideal for configuration, scripting, and rapid prototyping.","5.4.4, 5.4.6",aces
M4,"GNU M4 is an implementation of the traditional Unix macro processor. It is mostly SVR4 compatible although it has some extensions (for example, handling more than 9 positional parameters to macros). GNU M4 also has built-in functions for including files, running shell commands, doing arithmetic, etc.","1.4.18, 1.4.19",aces
MAFFT,"MAFFT is a multiple sequence alignment program for unix-like operating systems. It offers a range of multiple alignment methods, L-INS-i (accurate; for alignment of <∼200 sequences), FFT-NS-2 (fast; for alignment of <∼30,000 sequences), etc.",7.520-with-extensions,aces
MATIO,matio is an C library for reading and writing Matlab MAT files.,1.5.23,aces
METIS,"METIS is a set of serial programs for partitioning graphs, partitioning finite element meshes, and producing fill reducing orderings for sparse matrices. The algorithms implemented in METIS are based on the multilevel recursive-bisection, multilevel k-way, and multi-constraint partitioning schemes.",5.1.0,aces
MFEM,MFEM is a modular parallel C++ library for finite element methods. MFEM can be viewed as a finite element toolbox that provides the building blocks for developing finite element algorithms in a manner similar to that of MATLAB for linear algebra methods.,70941b4,aces
MONAI,"MONAI is a PyTorch-based, open-source framework for deep learning in healthcare imaging, part of PyTorch Ecosystem.",1.0.1,aces
MPC,"Gnu Mpc is a C library for the arithmetic of complex numbers with arbitrarily high precision and correct rounding of the result. It extends the principles of the IEEE-754 standard for fixed precision real floating point numbers to complex numbers, providing well-defined semantics for every operation. At the same time, speed of operation at high precision is a major design goal.","1.2.1, 1.3.1",aces
MPFR,The MPFR library is a C library for multiple-precision floating-point computations with correct rounding.,"4.1.0, 4.2.0, 4.2.1",aces
MUMPS,A parallel sparse direct solver,"5.5.1-metis, 5.6.1-metis",aces
MVAPICH2-GDR,MVAPICH2-GDR 2.3.7 binary release is based on MVAPICH2 2.3.7 and incorporates designs that take advantage of GPUDirect RDMA technology enabling direct P2P communication between NVIDIA GPUs and Mellanox InfiniBand adapters.,2.3.7-GCC-11.2.0-CUDA-11.4.1,aces
Magics,Magics is ECMWF's meteorological plotting software and can be either accessed directly through its Python or Fortran interfaces or by using Metview.,4.13.0,aces
Mako,A super-fast templating language that borrows the best ideas from the existing templating languages,"1.1.3, 1.1.4, 1.2.0, 1.2.4",aces
Mamba,"Mamba is a fast, robust, and cross-platform package manager. It runs on Windows, OS X and Linux (ARM64 and PPC64LE included) and is fully compatible with conda packages and supports most of conda's commands.",23.1.0-4,aces
Maven,"Binary maven install, Apache Maven is a software project management and comprehension tool. Based on the concept of a project object model (POM), Maven can manage a project's build, reporting and documentation from a central piece of information.",3.9.6,aces
MemoryViewer,MemoryViewer software gives system administrators comprehensive insight into the physical memory topology as well as the application memory utilization.,1.0,aces
Mercurial,"Mercurial is a free, distributed source control management tool. It efficiently handles projects of any size and offers an easy and intuitive interface.",6.4.5,aces
Mesa,Mesa is an open-source implementation of the OpenGL specification - a system for rendering interactive 3D graphics.,"21.1.1, 21.1.7, 22.0.3, 22.2.4-LLVM-14.0.6, 22.2.4, 23.1.4",aces
Meson,Meson is a cross-platform build system designed to be both as fast and as user friendly as possible.,"0.55.3, 0.58.0, 0.58.2, 0.62.1, 0.64.0, 1.1.1, 1.2.3",aces
Miniconda3,"Miniconda is a free minimal installer for conda. It is a small, bootstrap version of Anaconda that includes only conda, Python, the packages they depend on, and a small number of other useful packages.","4.12.0, 22.11.1-1, 23.3.1-0, 23.5.2-0, 23.9.0-0",aces
NAMD,NAMD is a parallel molecular dynamics code designed for high-performance simulation of large biomolecular systems.,2.14-mpi,aces
NASM,NASM: General-purpose x86 assembler,"2.15.05, 2.16.01",aces
NCCL,The NVIDIA Collective Communications Library (NCCL) implements multi-GPU and multi-node collective communication primitives that are performance optimized for NVIDIA GPUs.,"2.8.3-CUDA-11.1.1, 2.10.3-CUDA-11.3.1, 2.10.3-CUDA-11.4.1, 2.12.12-CUDA-11.7.0, 2.12.12-CUDA-11.8.0, 2.16.2-CUDA-12.0.0, ...",aces
NCL,NCL is an interpreted language designed specifically for scientific data analysis and visualization.,6.6.2,aces
NCO,"The NCO toolkit manipulates and analyzes data stored in netCDF-accessible formats, including DAP, HDF4, and HDF5.",5.0.1,aces
NEdit,"A fast, compact Motif/X11 plain text editor, for most popular Unix systems.",5.7.7,aces
NLopt,"NLopt is a free/open-source library for nonlinear optimization, providing a common interface for a number of different free optimization routines available online as well as original implementations of various other algorithms.","2.7.0, 2.7.1",aces
NSPR,Netscape Portable Runtime (NSPR) provides a platform-neutral API for system level and libc-like functions.,"4.32, 4.34, 4.35",aces
NSS,Network Security Services (NSS) is a set of libraries designed to support cross-platform development of security-enabled client and server applications.,"3.69, 3.79, 3.85, 3.89.1",aces
NVHPC,"C, C++ and Fortran compilers included with the NVIDIA HPC SDK (previously: PGI)","21.9, 22.9-CUDA-11.7.0, 22.11-CUDA-11.7.0, 22.11-CUDA-11.8.0, 23.1-CUDA-12.0.0, 23.7-CUDA-12.1.1, 23.7-CUDA-12.2.0, ...",aces
NVSHMEM,"NVSHMEM is a parallel programming interface based on OpenSHMEM that provides efficient and scalable communication for NVIDIA GPU clusters. NVSHMEM creates a global address space for data that spans the memory of multiple GPUs and can be accessed with fine-grained GPU-initiated operations, CPU-initiated operations, and operations on CUDA streams.",2.8.0-CUDA-11.7.0,aces
NiBabel,"NiBabel provides read/write access to some common medical and neuroimaging file formats, including: ANALYZE (plain, SPM99, SPM2 and later), GIFTI, NIfTI1, NIfTI2, MINC1, MINC2, MGH and ECAT as well as Philips PAR/REC. We can read and write Freesurfer geometry, and read Freesurfer morphometry and annotation files. There is some very limited support for DICOM. NiBabel is the successor of PyNIfTI.",4.0.2,aces
Ninja,Ninja is a small build system with a focus on speed.,"1.10.1, 1.10.2, 1.11.1",aces
ONNX,"Open Neural Network Exchange (ONNX) is an open ecosystem that empowers AI developers to choose the right tools as their project evolves. ONNX provides an open source format for AI models, both deep learning and traditional ML. It defines an extensible computation graph model, as well as definitions of built-in operators and standard data types. Currently we focus on the capabilities needed for inferencing (scoring).",1.15.0,aces
ONNX-Runtime,"ONNX Runtime inference can enable faster customer experiences and lower costs, supporting models from deep learning frameworks such as PyTorch and TensorFlow/Keras as well as classical machine learning libraries such as scikit-learn, LightGBM, XGBoost, etc. ONNX Runtime is compatible with different hardware, drivers, and operating systems, and provides optimal performance by leveraging hardware accelerators where applicable alongside graph optimizations and transforms.",1.16.3,aces
OPARI2,"OPARI2, the successor of Forschungszentrum Juelich's OPARI, is a source-to-source instrumentation tool for OpenMP and hybrid codes. It surrounds OpenMP directives and runtime library calls with calls to the POMP2 measurement interface.",2.0.7,aces
OpenBLAS,OpenBLAS is an optimized BLAS library based on GotoBLAS2 1.13 BSD version.,"0.3.12, 0.3.15, 0.3.18, 0.3.20, 0.3.21, 0.3.23, 0.3.24",aces
OpenBabel,"Open Babel is a chemical toolbox designed to speak the many languages of chemical data. It's an open, collaborative project allowing anyone to search, convert, analyze, or store data from molecular modeling, chemistry, solid-state materials, biochemistry, or related areas.",3.1.1,aces
OpenCV,OpenCV (Open Source Computer Vision Library) is an open source computer vision and machine learning software library. OpenCV was built to provide a common infrastructure for computer vision applications and to accelerate the use of machine perception in the commercial products. Includes extra modules for OpenCV from the contrib repository.,"4.6.0-contrib, 4.6.0-CUDA-11.7.0-contrib",aces
OpenEXR,OpenEXR is a high dynamic-range (HDR) image file format developed by Industrial Light & Magic for use in computer imaging applications,"3.1.5, 3.1.7",aces
OpenFOAM,"OpenFOAM is a free, open source CFD software package. OpenFOAM has an extensive range of features to solve anything from complex fluid flows involving chemical reactions, turbulence and heat transfer, to solid dynamics and electromagnetics.","v2206, v2312, 10",aces
OpenFold,A faithful PyTorch reproduction of DeepMind's AlphaFold 2,1.0.1-CUDA-11.3.1,aces
OpenImageIO,"OpenImageIO is a library for reading and writing images, and a bunch of related classes, utilities, and applications.",2.3.17.0,aces
OpenJPEG,"OpenJPEG is an open-source JPEG 2000 codec written in C language. It has been developed in order to promote the use of JPEG 2000, a still-image compression standard from the Joint Photographic Experts Group (JPEG). Since may 2015, it is officially recognized by ISO/IEC and ITU-T as a JPEG 2000 Reference Software.","2.4.0, 2.5.0",aces
OpenMM,OpenMM is a toolkit for molecular simulation.,"7.5.1-DeepMind-patch, 7.7.0, 8.0.0-CUDA-11.7.0, 8.0.0-CUDA-11.8.0, 8.0.0",aces
OpenMPI,The Open MPI Project is an open source MPI-3 implementation.,"nostub-4.1.4, 4.0.5, 4.1.1, 4.1.4-CUDA-11.8.0, 4.1.4, 4.1.5, 4.1.6",aces
OpenPGM,"OpenPGM is an open source implementation of the Pragmatic General Multicast (PGM) specification in RFC 3208 available at www.ietf.org. PGM is a reliable and scalable multicast protocol that enables receivers to detect loss, request retransmission of lost data, or notify an application of unrecoverable loss. PGM is a receiver-reliable protocol, which means the receiver is responsible for ensuring all data is received, absolving the sender of reception responsibility.",5.2.122,aces
OpenSSL,"The OpenSSL Project is a collaborative effort to develop a robust, commercial-grade, full-featured, and Open Source toolchain implementing the Secure Sockets Layer (SSL v2/v3) and Transport Layer Security (TLS v1) protocols as well as a full-strength general purpose cryptography library.","1.1, 1.1.1q, 3.1.5",aces
OpenSceneGraph,"The OpenSceneGraph is an open source high performance 3D graphics toolkit, used by application developers in fields such as visual simulation, games, virtual reality, scientific visualization and modelling. Written entirely in Standard C++ and OpenGL it runs on all Windows platforms, OSX, GNU/Linux, IRIX, Solaris, HP-Ux, AIX and FreeBSD operating systems. The OpenSceneGraph is now well established as the world leading scene graph technology, used widely in the vis-sim, space, scientific, oil-gas, games and virtual reality industries.",3.6.5,aces
OpenSubdiv,OpenSubdiv is a set of open source libraries that implement high performance subdivision surface (subdiv) evaluation on massively parallel CPU and GPU architectures.,3.6.0,aces
Optuna,"Optuna is an automatic hyperparameter optimization software framework, particularly designed for machine learning. It features an imperative, define-by-run style user API. Thanks to our define-by-run API, the code written with Optuna enjoys high modularity, and the user of Optuna can dynamically construct the search spaces for the hyperparameters.",3.1.0,aces
PAPI,"PAPI provides the tool designer and application engineer with a consistent interface and methodology for use of the performance counter hardware found in most major microprocessors. PAPI enables software engineers to see, in near real time, the relation between software performance and processor events. In addition Component PAPI provides access to a collection of components that expose performance measurement opportunites across the hardware and software stack.",7.0.1,aces
PCRE,The PCRE library is a set of functions that implement regular expression pattern matching using the same syntax and semantics as Perl 5.,"8.44, 8.45",aces
PCRE2,The PCRE library is a set of functions that implement regular expression pattern matching using the same syntax and semantics as Perl 5.,"10.36, 10.37, 10.40, 10.42",aces
PDAL,PDAL is a C++ library for translating and manipulating point cloud data.,"2.4.3, 2.6.0",aces
PDT,"Program Database Toolkit (PDT) is a framework for analyzing source code written in several programming languages and for making rich program knowledge accessible to developers of static and dynamic analysis tools. PDT implements a standard program representation, the program database (PDB), that can be accessed in a uniform way through a class library supporting common PDB operations.",3.25.1,aces
PETSc,"PETSc, pronounced PET-see (the S is silent), is a suite of data structures and routines for the scalable (parallel) solution of scientific applications modeled by partial differential equations.","3.17.4, 3.19.2, 3.19.2-64bit, 20231020-CUDA-11.8.0, 20231023-CUDA-11.8.0, 20231110-CUDA-11.8.0",aces
PLUMED,"PLUMED is an open source library for free energy calculations in molecular systems which works together with some of the most popular molecular dynamics engines. Free energy calculations can be performed as a function of many order parameters with a particular focus on biological problems, using state of the art methods such as metadynamics, umbrella sampling and Jarzynski-equation based steered MD. The software, written in C++, can be easily interfaced with both fortran and C/C++ codes.","2.7.2, 2.7.3, 2.8.0, 2.8.1, 2.9.0",aces
PMIx,"Process Management for Exascale Environments PMI Exascale (PMIx) represents an attempt to provide an extended version of the PMI standard specifically designed to support clusters up to and including exascale sizes. The overall objective of the project is not to branch the existing pseudo-standard definitions - in fact, PMIx fully supports both of the existing PMI-1 and PMI-2 APIs - but rather to (a) augment and extend those APIs to eliminate some current restrictions that impact scalability, and (b) provide a reference implementation of the PMI-server that demonstrates the desired level of scalability.","3.1.5, 3.2.3, 4.1.0, 4.1.2, 4.2.2, 4.2.4, 4.2.5, 4.2.6, 5.0.1",aces
POV-Ray,"The Persistence of Vision Raytracer, or POV-Ray, is a ray tracing program which generates images from a text-based scene description, and is available for a variety of computer platforms. POV-Ray is a high-quality, Free Software tool for creating stunning three-dimensional graphics. The source code is available for those wanting to do their own ports.",3.7.0.10,aces
PRANK,"PRANK is a probabilistic multiple alignment program for DNA, codon and amino-acid sequences. PRANK is based on a novel algorithm that treats insertions correctly and avoids over-estimation of the number of deletion events.",170427,aces
PROJ,Program proj is a standard Unix filter function which converts geographic longitude and latitude coordinates into cartesian coordinates,"7.2.1, 8.0.1, 8.1.0, 9.0.0, 9.1.1, 9.2.0",aces
PRRTE,"The PMIx Reference Runtime Environment is a reference run-time environment that utilizes the PMIx API. It mainly provides run-time environment infrastructure for environments that do not natively have them. In practical terms, this typically means providing infrastructure for non-scheduled environments that have no concept of distributed scheduling, file staging, remote stdout/stderr redirection, and only have ssh to execute commands on remote nodes.",3.0.2,aces
PYTHIA,"PYTHIA is a program for the generation of high-energy physics collision events, i.e. for the description of collisions at high energies between electrons, protons, photons and heavy nuclei. It contains theory and models for a number of physics aspects, including hard and soft interactions, parton distributions, initial- and final-state parton showers, multiparton interactions, fragmentation and decay. It is largely based on original research, but also borrows many formulae and other knowledge from the literature. As such it is categorized as a general purpose Monte Carlo event generator.",8.309,aces
PadicoTM,PM2 is an umbrella software suite for high-performance runtime systems. Modules may be installed and used together or separately.,20220531,aces
Pango,"Pango is a library for laying out and rendering of text, with an emphasis on internationalization. Pango can be used anywhere that text layout is needed, though most of the work on Pango so far has been done in the context of the GTK+ widget toolkit. Pango forms the core of text and font handling for GTK+-2.x.","1.48.5, 1.48.8, 1.50.7, 1.50.12, 1.50.14",aces
ParMETIS,"ParMETIS is an MPI-based parallel library that implements a variety of algorithms for partitioning unstructured graphs, meshes, and for computing fill-reducing orderings of sparse matrices. ParMETIS extends the functionality provided by METIS and includes routines that are especially suited for parallel AMR computations and large scale numerical simulations. The algorithms implemented in ParMETIS are based on the parallel multilevel k-way graph-partitioning, adaptive repartitioning, and parallel multi-constrained partitioning schemes.",4.0.3,aces
ParaFold,This project is a modified version of DeepMind's AlphaFold2 to achieve high-throughput protein structure prediction.,2.0-CUDA-11.8.0,aces
ParaView,ParaView is the world’s leading open source post-processing visualization engine.,"5.11.1-MPI-Linux64, 5.12.0-MPI-Linux64",aces
Parabricks,Clara Parabricks is a GPU-accelerated software suite for performing secondary analysis of next generation sequencing DNA and RNA data.,4.1.1,aces
Perl,Larry Wall's Practical Extraction and Report Language This is a minimal build without any modules. Should only be used for build dependencies.,"5.32.0-minimal, 5.32.0, 5.32.1-minimal, 5.32.1, 5.34.0-minimal, 5.34.0, 5.34.1-minimal, 5.34.1, 5.36.0-minimal, ...",aces
Pillow,Pillow is the 'friendly PIL fork' by Alex Clark and Contributors. PIL is the Python Imaging Library by Fredrik Lundh and Contributors.,"8.0.1, 8.2.0, 8.3.2, 9.1.1, 9.4.0, 10.0.0",aces
Pillow-SIMD,Pillow is the 'friendly PIL fork' by Alex Clark and Contributors. PIL is the Python Imaging Library by Fredrik Lundh and Contributors.,9.2.0,aces
PnetCDF,Parallel netCDF: A Parallel I/O Library for NetCDF File Access,1.12.3,aces
PostgreSQL,"PostgreSQL is a powerful, open source object-relational database system. It is fully ACID compliant, has full support for foreign keys, joins, views, triggers, and stored procedures (in multiple languages). It includes most SQL:2008 data types, including INTEGER, NUMERIC, BOOLEAN, CHAR, VARCHAR, DATE, INTERVAL, and TIMESTAMP. It also supports storage of binary large objects, including pictures, sounds, or video. It has native programming interfaces for C/C++, Java, .Net, Perl, Python, Ruby, Tcl, ODBC, among others, and exceptional documentation.","13.4, 15.2",aces
Ptex,Ptex is a texture mapping system developed by Walt Disney Animation Studios for production-quality rendering.,2.4.2,aces
Puk,PM2 is an umbrella software suite for high-performance runtime systems. Modules may be installed and used together or separately.,20220531,aces
PukABI,PM2 is an umbrella software suite for high-performance runtime systems. Modules may be installed and used together or separately.,20220531,aces
PyCUDA,PyCUDA lets you access Nvidia’s CUDA parallel computation API from Python.,2022.2.2-CUDA-11.8.0,aces
PyCairo,Python bindings for the cairo library,1.21.0,aces
PyFR,PyFR 2.0.0 is an open-source flow solver that uses the high-order flux reconstruction method.,"1.15.0-Python-3.11.5-CUDA-11.8.0, 2.0.0",aces
PyGObject,"PyGObject is a Python package which provides bindings for GObject based libraries such as GTK, GStreamer, WebKitGTK, GLib, GIO and many more.",3.42.1,aces
PyOpenGL,PyOpenGL is the most common cross platform Python binding to OpenGL and related APIs.,"3.1.6, 3.1.7",aces
PyQt5,"PyQt5 is a set of Python bindings for v5 of the Qt application framework from The Qt Company. This bundle includes PyQtWebEngine, a set of Python bindings for The Qt Company’s Qt WebEngine framework.",5.15.4,aces
PyTensor,Optimizing compiler for evaluating mathematical expressions on CPUs and GPUs,2.17.1,aces
PyTorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration. PyTorch is a deep learning framework that puts Python first.,"1.10.0-CUDA-11.3.1, 1.12.0-CUDA-11.7.0, 1.12.0, 1.12.1-CUDA-11.3.1, 1.12.1-CUDA-11.7.0, 1.13.1-CUDA-11.7.0, ...",aces
PyTorch-Geometric,PyTorch Geometric (PyG) is a geometric deep learning extension library for PyTorch.,2.1.0-PyTorch-1.12.0-CUDA-11.7.0,aces
PyTorch-Lightning,PyTorch Lightning is the lightweight PyTorch wrapper for ML researchers.,"1.7.7-CUDA-11.7.0, 1.8.4",aces
PyYAML,PyYAML is a YAML parser and emitter for the Python programming language.,"5.3.1, 5.4.1, 6.0",aces
PyZMQ,Python bindings for ZeroMQ,25.1.1,aces
Pysam,Pysam is a python module for reading and manipulating Samfiles. It's a lightweight wrapper of the samtools C-API. Pysam also includes an interface for tabix.,"0.19.1, 0.20.0",aces
Python,Python is a programming language that lets you work more quickly and integrate your systems more effectively.,"2.7.18-bare, 2.7.18, 3.8.6, 3.9.5-bare, 3.9.5, 3.9.6-bare, 3.9.6, 3.10.4-bare, 3.10.4, ...",aces
QCA,"Taking a hint from the similarly-named Java Cryptography Architecture, QCA aims to provide a straightforward and cross-platform crypto API, using Qt datatypes and conventions. QCA separates the API from the implementation, using plugins known as Providers. The advantage of this model is to allow applications to avoid linking to or explicitly depending on any particular cryptographic library. This allows one to easily change or upgrade crypto implementations without even needing to recompile the application! QCA should work everywhere Qt does, including Windows/Unix/MacOSX.",2.3.5,aces
QGIS,QGIS is a user friendly Open Source Geographic Information System (GIS),3.28.1,aces
QIIME2,QIIME is an open-source bioinformatics pipeline for performing microbiome analysis from raw DNA sequencing data.,2022.11,aces
QJson,QJson is a Qt-based library that maps JSON data to QVariant objects and vice versa.,0.9.0,aces
QScintilla,QScintilla is a port to Qt of Neil Hodgson's Scintilla C++ editor control,2.11.6,aces
Qhull,"Qhull computes the convex hull, Delaunay triangulation, Voronoi diagram, halfspace intersection about a point, furthest-site Delaunay triangulation, and furthest-site Voronoi diagram. The source code runs in 2-d, 3-d, 4-d, and higher dimensions. Qhull implements the Quickhull algorithm for computing the convex hull.",2020.2,aces
Qt5,Qt is a comprehensive cross-platform C++ application framework.,"5.15.2, 5.15.5, 5.15.7, 5.15.10",aces
Qt5Webkit,Qt Port of WebKit. WebKit is an open source web browser engine.,5.212.0-alpha4,aces
QtKeychain,Platform-independent Qt API for storing passwords securely.,0.13.2,aces
QuantumESPRESSO,"Quantum ESPRESSO is an integrated suite of computer codes for electronic-structure calculations and materials modeling at the nanoscale. It is based on density-functional theory, plane waves, and pseudopotentials (both norm-conserving and ultrasoft).","7.1, 7.2",aces
Qwt,The Qwt library contains GUI Components and utility classes which are primarily useful for programs with a technical background.,6.2.0,aces
RAPIDS,"Built based on the Apache Arrow columnar memory format, cuDF is a GPU DataFrame library for loading, joining, aggregating, filtering, and otherwise manipulating data.",23.08,aces
RDFlib,"RDFLib is a Python library for working with RDF, a simple yet powerful language for representing information.","5.0.0, 6.2.0",aces
RDKit,RDKit is a collection of cheminformatics and machine-learning software written in C++ and Python.,2022.09.4,aces
ROOT,The ROOT system provides a set of OO frameworks with all the functionality needed to handle and analyze large amounts of data in a very efficient way.,"6.26.06, 6.26.10",aces
R_tamu,,4.2.2,aces
RapidJSON,A fast JSON parser/generator for C++ with both SAX/DOM style API,"1.1.0, 1.1.0-20230928",aces
Ray-project,Ray is a fast and simple framework for building and running distributed applications.,"2.2.0, 2.6.2",aces
ReFrame,ReFrame is a framework for writing regression tests for HPC systems.,4.0.5,aces
Redis,"Redis is an open source (BSD licensed), in-memory data structure store, used as a database, cache, and message broker. Redis provides data structures such as strings, hashes, lists, sets, sorted sets with range queries, bitmaps, hyperloglogs, geospatial indexes, and streams. Redis has built-in replication, Lua scripting, LRU eviction, transactions, and different levels of on-disk persistence, and provides high availability via Redis Sentinel and automatic partitioning with Redis Cluster.",7.0.8,aces
Ruby,"Ruby is a dynamic, open source programming language with a focus on simplicity and productivity. It has an elegant syntax that is natural to read and easy to write.","3.0.1, 3.0.3",aces
Rust,"Rust is a systems programming language that runs blazingly fast, prevents segfaults, and guarantees thread safety.","1.52.1, 1.54.0, 1.60.0, 1.65.0, 1.70.0, 1.73.0, 1.75.0",aces
SAMtools,"SAM Tools provide various utilities for manipulating alignments in the SAM format, including sorting, merging, indexing and generating alignments in a per-position format.","1.14, 1.16.1, 1.17",aces
SCOTCH,"Software package and libraries for sequential and parallel graph partitioning, static mapping, and sparse matrix block ordering, and sequential mesh and hypergraph partitioning.","6.1.2, 7.0.1, 7.0.3",aces
SCons,SCons is a software construction tool.,4.4.0,aces
SDL2,"SDL: Simple DirectMedia Layer, a cross-platform multimedia library","2.0.20, 2.0.22, 2.26.3, 2.28.2",aces
SHAP,SHAP (SHapley Additive exPlanations) is a game theoretic approach to explain the output of any machine learning model. It connects optimal credit allocation with local explanations using the classic Shapley values from game theory and their related extensions.,0.41.0,aces
SIONlib,"SIONlib is a scalable I/O library for parallel access to task-local files. The library not only supports writing and reading binary data to or from several thousands of processors into a single or a small number of physical files, but also provides global open and close functions to access SIONlib files in parallel. This package provides a stripped-down installation of SIONlib for use with performance tools (e.g., Score-P), with renamed symbols to avoid conflicts when an application using SIONlib itself is linked against a tool requiring a different SIONlib version.","1.7.7-tools, 1.7.7",aces
SLEPc,"SLEPc (Scalable Library for Eigenvalue Problem Computations) is a software library for the solution of large scale sparse eigenvalue problems on parallel computers. It is an extension of PETSc and can be used for either standard or generalized eigenproblems, with real or complex arithmetic. It can also be used for computing a partial SVD of a large, sparse, rectangular matrix, and to solve quadratic eigenvalue problems.",3.17.2,aces
SPAdes,Genome assembler for single-cell and isolates data sets,3.15.5,aces
SQLite,SQLite: SQL Database Engine in a C Library,"3.33.0, 3.35.4, 3.36, 3.38.3, 3.39.4, 3.42.0, 3.43.1, 3.44.0",aces
SRA-Toolkit,"The SRA Toolkit, and the source-code SRA System Development Kit (SDK), will allow you to programmatically access data housed within SRA and convert it from the SRA format",3.0.3,aces
STAR,STAR aligns RNA-seq reads to a reference genome using uncompressed suffix arrays.,2.7.2b,aces
SUNDIALS,SUNDIALS: SUite of Nonlinear and DIfferential/ALgebraic Equation Solvers,6.3.0,aces
SWIG,SWIG is a software development tool that connects programs written in C and C++ with a variety of high-level programming languages.,"4.0.2, 4.1.1",aces
ScaFaCoS,ScaFaCoS is a library of scalable fast coulomb solvers.,"1.0.1, 1.0.4",aces
ScaLAPACK,The ScaLAPACK (or Scalable LAPACK) library includes a subset of LAPACK routines redesigned for distributed memory MIMD parallel computers.,"2.1.0-fb, 2.1.0, 2.2.0-fb",aces
Scalasca,Scalasca is a software tool that supports the performance optimization of parallel programs by measuring and analyzing their runtime behavior. The analysis identifies potential performance bottlenecks -- in particular those concerning communication and synchronization -- and offers guidance in exploring their causes.,2.6.1,aces
SciPy-bundle,Bundle of Python packages for scientific software,"2020.11, 2021.05, 2021.10, 2022.05, 2023.02, 2023.07, ...",aces
