Software,RP Name
opencv,"delta, darwin, aces, faster, anvil"
openexr,"aces, faster"
openfoam,"anvil, expanse, aces, faster, ookami"
openfold,"aces, faster"
openimageio,aces
openjdk,"delta, anvil, expanse, kyric"
openjpeg,"aces, faster"
openldap,ookami
openmm,"aces, faster"
openmpi,"delta, anvil, darwin, expanse, aces, faster, ookami, kyric, kyric"
openmpi+cuda,delta
openmpi-5.0_beta,delta
openmpi4,kyric
openmx,faster
openpgm,"aces, faster"
openpmix,ookami
openscenegraph,aces
opensees,stampede3
openssh,kyric
openssl,"aces, faster, ookami, kyric"
opensubdiv,aces
opensycl,ookami
optix,faster
optuna,"aces, faster"
orca,"expanse, faster"
orthofinder,anvil
os,kyric
osi,faster
osu-micro-benchmarks,"delta, expanse, aces, faster"
otf2,aces
p11-kit,"aces, faster"
p4est,stampede3
p7zip,expanse
padicotm,aces
paml,anvil
panacota,anvil
panaroo,anvil
pandas,faster
pandaseq,anvil
pandora,anvil
pango,"aces, faster"
pangolin,anvil
pangraph,anvil
panphlan,anvil
papi,"delta, anvil, darwin, expanse, stampede3, aces, ookami, kyric"
parabricks,"anvil, aces, faster"
parafly,anvil
parafold,aces
parallel,"delta, anvil, expanse, faster, ookami"
parallel-fastq-dump,anvil
parallel-netcdf,"delta, anvil, expanse, stampede3"
parallelfold,faster
parasail,faster
paraview,"delta, anvil, darwin, expanse, aces, faster"
parliament2,anvil
parmetis,"delta, expanse, stampede3, aces, faster"
parpack,stampede3
parsnp,anvil
pasapipeline,anvil
pasta,anvil
patchelf,"aces, faster, ookami"
pax,ookami
pblat,anvil
pbmm2,anvil
pbptyper,anvil
pcangsd,"anvil, faster"
pciutils,expanse
pcre,"aces, faster"
pcre2,"stampede3, aces, faster, kyric"
pdal,"aces, faster"
pdt,"darwin, aces"
pdtoolkit,kyric
peakranger,anvil
pepper_deepvariant,anvil
perftools,delta
perftools-base,delta
perftools-lite,delta
perftools-lite-events,delta
perftools-lite-gpu,delta
perftools-lite-hbm,delta
perftools-lite-loops,delta
perftools-preload,delta
perl,"expanse, aces, faster, kyric"
perl-bioperl,"anvil, expanse"
perl-bundle-cpan,"aces, faster"
perl-bundle1-cpan,"aces, faster"
perl-bundle2-cpan,aces
petsc,"delta, anvil, expanse, stampede3, aces, faster, ookami"
pftoolsv3,faster
pggb,anvil
pgi,"darwin, expanse"
phast,anvil
phd2fasta,anvil
phdf5,stampede3
phg,anvil
phipack,anvil
php,faster
phrap,anvil
phred,anvil
phylofisher,anvil
phylosuite,anvil
physics-tenpy,"aces, faster"
picard,"anvil, expanse, faster"
picrust2,anvil
pigz,"expanse, aces, faster"
pillow,"aces, faster"
pillow-simd,"aces, faster"
pilon,"anvil, faster"
pindel,anvil
pioman,aces
pirate,anvil
piscem,anvil
pixman,"aces, faster"
pixy,anvil
pkg-config,"aces, faster"
pkgconf,"aces, faster, kyric"
pkgconfig,"aces, faster"
plasmidfinder,anvil
platon,anvil
platypus,"anvil, faster"
plink,"anvil, expanse, faster"
plink2,anvil
plotly.py,"aces, faster"
plotsr,anvil
plumed,"expanse, aces, faster"
ply,faster
pmi,faster
pmix,"darwin, aces, faster, kyric"
pnetcdf,"darwin, stampede3, aces, faster"
pnetcdff,stampede3
pocl,"aces, faster"
poetry,"aces, faster"
pomoxis,anvil
poppler,"aces, faster"
poppunk,anvil
popscle,anvil
popt,"faster, kyric"
posix2ime,delta
postgresql,"aces, faster"
pov-ray,"aces, faster"
pplacer,anvil
pre,ookami
prgenv-gnu,delta
prgenv-nvhpc,delta
prgenv-nvidia,delta
prinseq,anvil
probtorch,faster
prodigal,anvil
proj,"anvil, darwin, aces, faster, ookami"
prokka,anvil
proteinortho,anvil
prothint,anvil
protobuf,"anvil, aces, faster"
protobuf-python,"aces, faster"
prrte,aces
prun,kyric
pscom,faster
psycopg2,"aces, faster"
ptex,aces
pugixml,"aces, faster"
puk,aces
pukabi,aces
pullseq,anvil
purge_dups,anvil
pv,faster
pvactools,anvil
pwanalyzer,ookami
py-ase,expanse
py-cached-property,expanse
py-cftime,expanse
py-cpuinfo,aces
py-cutadapt,expanse
py-cycler,expanse
py-cython,"expanse, kyric"
py-dask,expanse
py-dendropy,expanse
py-et-xmlfile,expanse
py-gsd,expanse
py-h5py,expanse
py-htseq,expanse
py-jdcal,expanse
py-jupyter-core,expanse
py-jupyterlab,expanse
py-kiwisolver,expanse
py-matplotlib,expanse
py-mpi4py,"anvil, expanse"
py-netcdf4,expanse
py-numba,expanse
py-numexpr,expanse
py-numpy,expanse
py-openpyxl,expanse
py-pandas,expanse
py-petsc4py,expanse
py-phonopy,expanse
py-pillow-simd,expanse
py-pip,expanse
py-pybind11,expanse
py-pycuda,expanse
py-pyparsing,expanse
py-pysam,expanse
py-pyscf,expanse
py-python-dateutil,expanse
py-pytz,expanse
py-pyyaml,expanse
py-scikit-learn,expanse
py-scikit-optimize,expanse
py-scipy,expanse
py-seaborn,expanse
py-setuptools,"expanse, kyric"
py-setuptools-scm,expanse
py-six,expanse
py-slepc4py,expanse
py-statsmodels,expanse
py-sympy,expanse
py-tables,expanse
py-virtualenv,expanse
py-xlrd,expanse
py3dmol,aces
pyani,anvil
pybedtools,anvil
pybigwig,"anvil, faster"
pybind11,"aces, faster"
pycairo,"aces, faster"
pycharm,faster
pychopper,anvil
pycoqc,anvil
pycuda,"aces, faster"
pydantic,"aces, faster"
pydicom,aces
pyensembl,anvil
pyfaidx,"anvil, faster"
pyfr,aces
pygenometracks,anvil
pygenomeviz,anvil
pygobject,"aces, faster"
pymc3,faster
pyomo,faster
pyopencl,faster
pyopengl,"aces, faster"
pyproj,"aces, faster"
pypy,"faster, ookami"
pyqt5,"aces, faster"
pyranges,anvil
pyro-api,faster
pyro-ppl,faster
pysam,"anvil, aces, faster"
pyspoa,faster
pystan,faster
pytensor,aces
pytesseract,aces
pytest,"aces, faster"
pytest-flakefinder,"aces, faster"
pytest-rerunfailures,"aces, faster"
pytest-shard,"aces, faster"
pytest-xdist,"aces, faster"
pythia,aces
python,"delta, anvil, darwin, expanse, stampede3, aces, faster, ookami, kyric, kyric"
python-bundle-pypi,"aces, faster"
python-isal,"aces, faster"
python-parasail,faster
python_cacher,stampede3
pytorch,"aces, faster, ookami, anvil"
pytorch-geometric,"aces, faster"
pytorch-lightning,"aces, faster"
pytorch3d,faster
pyvcf3,anvil
pyyaml,"aces, faster"
pyzmq,aces
qca,"aces, faster"
qcat,faster
qchem,"expanse, faster"
qd,ookami
qe,stampede3
qemu,anvil
qgis,"aces, faster"
qhull,"expanse, aces, faster"
qiime2,"anvil, aces, faster"
qjson,aces
qrupdate,"expanse, faster"
qscintilla,"aces, faster"
qt,"anvil, expanse"
qt5,"aces, faster"
qt5webkit,"aces, faster"
qtkeychain,"aces, faster"
qtlseq,anvil
qualimap,anvil
quantum,ookami
quantum-espresso,"anvil, expanse"
quantumespresso,"aces, faster, ookami"
quast,anvil
quickmirseq,anvil
qwt,"aces, faster"
r,"delta, anvil, darwin, expanse, aces, faster, ookami, jetstream, kyric"
r-acepack,expanse
r-affy,expanse
r-affyio,expanse
r-annotate,expanse
r-annotationdbi,expanse
r-askpass,expanse
r-assertthat,expanse
r-backports,expanse
r-base64,expanse
r-base64enc,expanse
r-beanplot,expanse
r-bh,expanse
r-bibtex,expanse
r-biobase,expanse
r-bioc,darwin
r-biocgenerics,expanse
r-biocmanager,expanse
r-biocparallel,expanse
r-biomart,expanse
r-biostrings,expanse
r-bit,expanse
r-bit64,expanse
r-bitops,expanse
r-blob,expanse
r-bumphunter,expanse
r-bundle-bioconductor,faster
r-cellchat,anvil
r-checkmate,expanse
r-cli,expanse
r-clipr,expanse
r-cluster,expanse
r-codetools,expanse
r-colorspace,expanse
r-cran,darwin
r-curl,expanse
r-data-table,expanse
r-dbi,expanse
r-delayedarray,expanse
r-delayedmatrixstats,expanse
r-deseq2,expanse
r-digest,expanse
r-doparallel,expanse
r-dorng,expanse
r-dplyr,expanse
r-ellipsis,expanse
r-evaluate,expanse
r-fansi,expanse
r-fdb-infiniummethylation-hg19,expanse
r-foreach,expanse
r-foreign,expanse
r-formatr,expanse
r-formula,expanse
r-futile-logger,expanse
r-futile-options,expanse
r-genefilter,expanse
r-geneplotter,expanse
r-genomeinfodb,expanse
r-genomeinfodbdata,expanse
r-genomicalignments,expanse
r-genomicfeatures,expanse
r-genomicranges,expanse
r-geoquery,expanse
r-ggplot2,expanse
r-glue,expanse
r-gridbase,expanse
r-gridextra,expanse
r-gtable,expanse
r-hdf5array,expanse
r-highr,expanse
r-hmisc,expanse
r-hms,expanse
r-htmltable,expanse
r-htmltools,expanse
r-htmlwidgets,expanse
r-httpuv,expanse
r-httr,expanse
r-illuminaio,expanse
r-iranges,expanse
r-iterators,expanse
r-jpeg,expanse
r-jsonlite,expanse
r-kernsmooth,expanse
r-knitr,expanse
r-labeling,expanse
r-lambda-r,expanse
r-later,expanse
r-lattice,expanse
r-latticeextra,expanse
r-lazyeval,expanse
r-limma,expanse
r-locfit,expanse
r-lumi,expanse
r-magrittr,expanse
r-maptools,expanse
r-markdown,expanse
r-mass,expanse
r-matrix,expanse
r-matrixstats,expanse
r-mclust,expanse
r-memoise,expanse
r-methylumi,expanse
r-mgcv,expanse
r-mime,expanse
r-minfi,expanse
r-misc3d,expanse
r-multtest,expanse
r-munsell,expanse
r-nleqslv,expanse
r-nlme,expanse
r-nmf,expanse
r-nnet,expanse
r-nor1mix,expanse
r-openssl,expanse
r-org-hs-eg-db,expanse
r-pillar,expanse
r-pkgconfig,expanse
r-pkgmaker,expanse
r-plogr,expanse
r-plyr,expanse
r-png,expanse
r-preprocesscore,expanse
r-prettyunits,expanse
r-progress,expanse
r-promises,expanse
r-purrr,expanse
r-quadprog,expanse
r-r6,expanse
r-rcolorbrewer,expanse
r-rcpp,expanse
r-rcpparmadillo,expanse
r-rcurl,expanse
r-readr,expanse
r-registry,expanse
r-reshape,expanse
r-reshape2,expanse
r-rhdf5,expanse
r-rhdf5lib,expanse
r-rhtslib,expanse
r-rlang,expanse
r-rnaseq,anvil
r-rngtools,expanse
r-rpart,expanse
r-rsamtools,expanse
r-rsqlite,expanse
r-rstudio,anvil
r-rstudioapi,expanse
r-rtracklayer,expanse
r-s4vectors,expanse
r-scales,expanse
r-scrime,expanse
r-scrnaseq,anvil
r-shiny,expanse
r-siggenes,expanse
r-snow,expanse
r-sourcetools,expanse
r-sp,expanse
r-stringi,expanse
r-stringr,expanse
r-studio,jetstream
r-studio-server,darwin
r-summarizedexperiment,expanse
r-survival,expanse
r-sys,expanse
r-tibble,expanse
r-tidyr,expanse
r-tidyselect,expanse
r-txdb-hsapiens-ucsc-hg19-knowngene,expanse
r-utf8,expanse
r-vctrs,expanse
r-viridis,expanse
r-viridislite,expanse
r-withr,expanse
r-xfun,expanse
r-xml,expanse
r-xml2,expanse
r-xtable,expanse
r-xvector,expanse
r-yaml,expanse
r-zeallot,expanse
r-zlibbioc,expanse
r_flexiblas,delta
r_tamu,"aces, faster"
racon,"anvil, faster"
ragel,faster
ragout,anvil
ragtag,anvil
randfold,expanse
rapidjson,"aces, faster"
rapids,aces
rapmap,anvil
rasterio,faster
rasusa,anvil
raven-assembler,anvil
raxml,"anvil, expanse, faster"
raxml-ng,"anvil, expanse, faster"
ray-project,"aces, faster"
rclone,"darwin, expanse, faster, ookami"
rdflib,"aces, faster"
rdkit,aces
re2,"aces, faster"
re2c,"aces, faster"
readline,"delta, expanse, ookami, kyric"
reapr,anvil
rebaler,anvil
reciprocal_smallest_distance,anvil
recycler,anvil
redis,"aces, faster"
redis-py,"aces, faster"
reframe,aces
regtools,anvil
relion,expanse
remora,stampede3
repeatmasker,anvil
repeatmodeler,anvil
repeatscout,anvil
resfinder,anvil
revbayes,anvil
rioxarray,faster
rising,aces
rlwrap,faster
rmats,anvil
rmats2sashimiplot,anvil
rnaindel,anvil
rnalysis,faster
rnapeg,anvil
rnaquast,anvil
roary,anvil
rocm-cmake,faster
rocm-compilersupport,faster
rocm-smi,faster
rocr-runtime,faster
roct-thunk-interface,faster
root,"aces, faster"
rsem,"anvil, faster"
rseqc,anvil
rstudio,"anvil, expanse, ookami"
ruamel.yaml,faster
ruby,"aces, faster"
run_dbcan,anvil
rush,anvil
rust,"delta, darwin, aces, faster, ookami"
sage,anvil
salmon,"anvil, expanse, faster"
sambamba,"anvil, faster"
samblaster,"anvil, expanse, faster"
samclip,anvil
samplot,anvil
samtools,"anvil, expanse, aces, faster"
sanitizers4hpc,delta
sanitytool,stampede3
scafacos,"aces, faster"
scalapack,"darwin, aces, faster, ookami"
scalasca,"aces, ookami, kyric"
scanpy,anvil
scarches,anvil
scgen,anvil
schrodinger,faster
scikit-bio,faster
scikit-build,"aces, faster"
scikit-cuda,aces
scikit-fda,faster
scikit-image,"aces, faster"
scikit-learn,"aces, faster"
scipy,faster
scipy-bundle,"aces, faster"
scipy_tamu,faster
scirpy,anvil
scnic,faster
scons,"darwin, aces, faster"
score-p,aces
scorep,kyric
scotch,"expanse, aces, faster"
scvelo,anvil
scvi-tools,anvil
sdl,"aces, faster"
sdl2,"aces, faster"
sdsc,expanse
seaborn,faster
segalign,anvil
segmentation-models,faster
seidr,anvil
sentencepiece,aces
sepp,"anvil, faster"
seqcode,anvil
seqkit,anvil
seqyclean,anvil
serf,"aces, faster"
settarg,"delta, stampede3, aces, faster"
setuptools,aces
setuptools-rust,"aces, faster"
shadow,kyric
shap,aces
shapeit4,anvil
shapeit5,anvil
shapely,"aces, faster"
shared,"expanse, ookami"
shasta,anvil
shigeifinder,anvil
shorah,anvil
shortstack,anvil
shovill,anvil
sicer,anvil
sicer2,anvil
siesta,"expanse, ookami"
signalp4,anvil
signalp6,anvil
simug,anvil
singlem,anvil
singularity,"darwin, ookami, jetstream, kyric"
singularitypro,expanse
sionlib,"aces, kyric"
sip,faster
ska,anvil
skewer,anvil
sklearn,ookami
slamdunk,anvil
slepc,"expanse, aces, faster"
slurm,"expanse, ookami"
slurm-env,delta
smoove,anvil
smrt-link,faster
snakemake,"anvil, faster"
snap,anvil
snap-aligner,anvil
snappy,"aces, faster"
snaptools,anvil
snippy,anvil
snp-dists,anvil
snp-sites,anvil
snpeff,anvil
snpgenie,anvil
snphylo,anvil
snpsift,anvil
soapdenovo2,"anvil, expanse"
sortmerna,anvil
souporcell,anvil
sourmash,anvil
spaceranger,anvil
spack,"faster, ookami"
spacy,aces
spades,"anvil, expanse, aces, faster"
spark,"anvil, expanse, faster"
sparsehash,faster
spdlog,ookami
speedseq,faster
spglib,"aces, faster"
spglib-python,"aces, faster"
spice-server,anvil
spoa,faster
sprng,expanse
sprod,anvil
spython,"aces, faster"
sqlite,"expanse, aces, faster, kyric"
squashfs,kyric
squashfs-tools,darwin
squeezemeta,anvil
squid,anvil
sra-toolkit,"aces, faster"
sra-tools,anvil
sratoolkit,"anvil, expanse"
srst2,anvil
stacks,"anvil, expanse, faster"
star,"anvil, expanse, aces, faster"
staramr,anvil
starfusion,anvil
starpu,aces
stata,darwin
statsmodels,"aces, faster"
strace,faster
stream,anvil
stringdecomposer,anvil
stringtie,"anvil, expanse"
strique,anvil
structure,"anvil, faster"
strumpack,faster
subread,anvil
subversion,"delta, expanse, aces, faster"
suite-sparse,expanse
suitesparse,"aces, faster"
sundials,"aces, faster"
superlu,expanse
superlu-dist,expanse
superlu_dist,"aces, faster"
survivor,anvil
svaba,anvil
sve,ookami
svtools,anvil
svtyper,"anvil, faster"
swat,anvil
swig,"anvil, stampede3, aces, faster"
sympy,"aces, faster"
synthcity,aces
syri,anvil
sz,faster
sz3,faster
szip,"darwin, aces, faster"
t-coffee,anvil
tabix,expanse
taichi,faster
talon,anvil
tar,kyric
targetp,anvil
tassel,anvil
tau,"darwin, expanse, ookami, kyric"
taxonkit,anvil
tbb,"aces, faster, ookami, kyric"
tbb32,kyric
tcl,"delta, anvil, expanse, aces, faster"
tclap,faster
tcltk,darwin
tcsh,"aces, faster"
template,ookami
tensorboard,"aces, faster"
tensorboardx,"aces, faster"
tensorflow,"darwin, aces, faster, anvil"
tensorflow-probability,"aces, faster"
tensorrt,"aces, faster"
tesseract,aces
test,ookami
tetranscripts,anvil
texlive,"anvil, darwin, aces, ookami"
tfold,darwin
theano,"aces, faster"
thermo-calc,faster
tiara,anvil
tiff,"aces, faster"
tigmint,anvil
time,"delta, aces, faster"
tinker-hp,delta
tk,"delta, anvil, aces, faster"
tkinter,"aces, faster"
tmux,aces
tobias,anvil
tombo,anvil
tomli,faster
toolkit,ookami
tools,ookami
tophat,anvil
torchinfo,faster
torchsampler,aces
torchtext,aces
torchvision,"aces, faster"
tornado,aces
totalview,anvil
tpmcalculator,anvil
tqdm,"aces, faster"
transabyss,anvil
transdecoder,anvil
transformers,faster
transrate,anvil
transvar,anvil
trax,anvil
treetime,anvil
trilinos,"stampede3, aces"
trim-galore,anvil
trim_galore,"aces, faster"
trimal,"anvil, faster"
trimmomatic,"anvil, expanse"
trinity,"anvil, expanse"
trinotate,anvil
trnascan-se,anvil
trtools,anvil
trust4,anvil
trycycler,anvil
twisted,"aces, faster"
typing-extensions,"aces, faster"
ucc,"aces, faster"
ucc-cuda,"aces, faster"
ucsc_genome_toolkit,anvil
ucsctest,faster
ucsctools,faster
ucx,"darwin, expanse, aces, faster, ookami, kyric"
ucx-cuda,"aces, faster"
udbuild,darwin
udunits,"darwin, stampede3, aces, faster"
umi_tools,anvil
unicycler,anvil
unison,faster
unzip,"aces, faster"
upcxx,faster
usefulaf,anvil
utf8proc,"aces, faster"
util,ookami
util-linux,"aces, faster, kyric"
util-linux-uuid,kyric
util-macros,kyric
utils,ookami
vadr,anvil
valgrind,"anvil, darwin, expanse, ookami, kyric"
valgrind4hpc,delta
vardict-java,anvil
varlociraptor,anvil
varscan,anvil
vartrix,anvil
vasp,"anvil, expanse, stampede3, aces, faster"
vasp6,expanse
vatools,anvil
vawk,faster
vcf-kit,anvil
vcf2maf,anvil
vcf2phylip,anvil
vcf2tsvpy,anvil
vcftools,"anvil, expanse, faster"
velocyto.py,anvil
velvet,anvil
vep,faster
veryfasttree,anvil
vesta,aces
vg,anvil
viennarna,anvil
virtualenv,"aces, faster"
virtualgl,faster
visit,"delta, anvil, darwin, faster, ookami"
vlc,anvil
vmd,"anvil, darwin, expanse, stampede3, aces, faster"
voro++,"aces, faster"
vpl,kyric
vscode,"anvil, aces"
vsearch,anvil
vtk,"anvil, aces, faster"
vtune,"darwin, stampede3, aces, faster, kyric"
vulkansdk,"aces, faster"
wannier90,"anvil, expanse, faster"
wayland,"aces, faster"
waylandpp,"aces, faster"
webkitgtk+,"aces, faster"
weblogo,anvil
webproxy,"aces, faster"
westpa,delta
wgss,darwin
whatshap,anvil
wiggletools,anvil
winnowmap,anvil
wpebackend-fdo,"aces, faster"
wps,"expanse, faster"
wrf,"expanse, aces, faster"
wtdbg,anvil
wxpython,"aces, faster"
wxwidgets,"aces, faster"
x11,"aces, faster"
x264,"aces, faster"
x265,"aces, faster"
xalt,"anvil, stampede3"
xarray,"aces, faster"
xclock,delta
xdinfo,darwin
xdist,"aces, faster"
xdresourceid,darwin
xdusage,darwin
xerces-c,delta
xerces-c++,"aces, faster"
xextproto,delta
xgboost,aces
xml-libxml,"aces, faster"
xorg-macros,"aces, faster"
xpmem,ookami
xprop,"aces, faster"
xproto,"delta, aces, faster"
xtalopt,faster
xtrans,delta
xvfb,"aces, faster"
xxd,"aces, faster"
xz,"expanse, aces, faster, kyric"
yacs,"aces, faster"
yaff,faster
yaml,ookami
yasm,"aces, faster"
yaxt,faster
z3,"aces, faster"
zarr,"aces, faster"
zebulon,faster
zeromq,"aces, faster"
zfp,faster
zip,"aces, faster"
zlib,"anvil, expanse, aces, faster, kyric"
zluda,darwin
zsh,ookami
zstd,"expanse, aces, faster, kyric"
